# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
3.101490768e-01 2.249881e-02 3.461989e-02 3.770930e-02 4.106862e-02 4.457507e-02 5.144333e-02 7.058056e-02 8.260319e-02 9.098177e-02 1.012047e-01 1.046206e-01 1.526312e-01 1.865071e-01 2.142137e-01 2.420553e-01 2.519046e-01 3.624822e-01 4.726331e-01 6.015239e-01 7.589642e-01 9.641690e-01 1.260287e+00 1.720687e+00 2.691817e+00 9.634158e+00 
3.150165948e-01 1.442462e-02 1.830910e-02 3.136115e-02 3.477636e-02 3.670174e-02 4.002626e-02 6.274429e-02 7.733756e-02 8.726708e-02 9.252021e-02 9.642631e-02 1.517701e-01 1.846749e-01 2.118917e-01 2.365379e-01 2.493674e-01 3.650403e-01 4.810313e-01 6.077961e-01 7.608999e-01 9.699593e-01 1.267254e+00 1.746796e+00 2.737775e+00 9.873372e+00 
3.198144144e-01 2.213889e-02 2.582578e-02 3.247964e-02 4.289592e-02 4.451589e-02 4.509720e-02 6.513830e-02 7.827355e-02 8.796754e-02 9.576364e-02 9.913530e-02 1.495144e-01 1.816704e-01 2.079571e-01 2.352870e-01 2.473433e-01 3.613399e-01 4.773983e-01 6.037160e-01 7.647416e-01 9.663170e-01 1.257745e+00 1.739816e+00 2.716102e+00 9.874698e+00 
3.254287833e-01 4.263644e-03 3.324143e-02 3.373377e-02 3.396818e-02 4.194247e-02 4.571117e-02 7.154437e-02 8.394896e-02 9.440665e-02 1.006891e-01 1.069965e-01 1.507891e-01 1.836193e-01 2.083392e-01 2.354317e-01 2.485249e-01 3.597871e-01 4.754316e-01 6.066544e-01 7.602391e-01 9.691038e-01 1.260351e+00 1.732979e+00 2.689784e+00 9.941863e+00 
3.300473293e-01 1.373043e-02 2.786149e-02 3.715418e-02 4.020158e-02 4.128719e-02 4.350335e-02 6.270333e-02 7.383782e-02 8.194433e-02 9.068643e-02 9.549014e-02 1.468401e-01 1.839216e-01 2.116117e-01 2.371874e-01 2.471418e-01 3.589301e-01 4.721744e-01 6.038493e-01 7.648230e-01 9.736333e-01 1.280552e+00 1.765382e+00 2.750090e+00 9.996405e+00 
3.351292620e-01 8.572573e-03 2.139171e-02 2.571695e-02 3.779864e-02 4.460951e-02 4.567266e-02 6.513011e-02 7.505096e-02 8.497208e-02 9.577685e-02 9.928638e-02 1.490614e-01 1.828787e-01 2.075516e-01 2.352642e-01 2.486974e-01 3.630889e-01 4.747521e-01 6.038461e-01 7.629606e-01 9.682977e-01 1.261844e+00 1.781513e+00 2.812748e+00 1.067311e+01 
3.399829377e-01 7.372020e-03 2.185098e-02 2.763784e-02 3.380904e-02 3.995817e-02 4.026873e-02 5.526500e-02 7.391663e-02 7.972451e-02 8.872032e-02 9.401247e-02 1.443782e-01 1.762159e-01 2.072843e-01 2.329867e-01 2.495017e-01 3.604631e-01 4.685243e-01 6.014952e-01 7.654023e-01 9.690322e-01 1.268215e+00 1.755620e+00 2.738766e+00 9.937688e+00 
3.439915167e-01 8.680361e-03 1.930478e-02 2.074077e-02 2.375887e-02 2.818877e-02 3.414502e-02 6.139071e-02 7.249668e-02 8.401230e-02 9.450576e-02 9.696025e-02 1.452469e-01 1.835722e-01 2.125024e-01 2.374708e-01 2.480561e-01 3.563761e-01 4.665183e-01 5.996486e-01 7.598315e-01 9.699290e-01 1.267392e+00 1.760873e+00 2.780314e+00 1.002528e+01 
3.483862143e-01 1.544865e-02 2.755998e-02 3.497903e-02 4.182296e-02 4.847211e-02 5.143460e-02 7.016058e-02 8.457079e-02 9.297738e-02 9.784551e-02 9.947471e-02 1.499837e-01 1.825271e-01 2.104655e-01 2.350779e-01 2.472258e-01 3.567419e-01 4.729512e-01 5.985238e-01 7.661291e-01 9.689566e-01 1.264807e+00 1.748304e+00 2.793080e+00 1.051447e+01 
3.540464855e-01 2.514478e-02 3.326764e-02 3.524232e-02 3.897758e-02 4.587826e-02 4.677169e-02 6.859134e-02 8.022630e-02 8.856038e-02 9.629879e-02 1.001366e-01 1.462386e-01 1.807078e-01 2.100119e-01 2.365581e-01 2.485103e-01 3.582172e-01 4.716157e-01 6.027986e-01 7.649899e-01 9.760078e-01 1.281436e+00 1.780459e+00 2.805214e+00 1.071724e+01 
